Datetime;Consumption;FeedIn;Production;Purchased;SelfConsumption
2024-04-29 00:00:00+02:00;108,338165;0;83,3451;24,993067;83,3451
2024-04-29 00:15:00+02:00;118,38792;0;93,382904;25,005014;93,382904
2024-04-29 00:30:00+02:00;129,54758;0;104,42736;25,120214;104,42736
2024-04-29 00:45:00+02:00;158,41628;0;114,77521;43,641068;114,77521
2024-04-29 01:00:00+02:00;176,94919;18,53216;190,91708;4,5642667;172,38492
2024-04-29 01:15:00+02:00;76,47855;5,5912533;81,807625;0,26218668;76,21637
2024-04-29 01:30:00+02:00;67,73224;10,178559;45,49031;32,420483;35,311752
2024-04-29 01:45:00+02:00;65,90242;14,37632;80,27874;0;65,90242
2024-04-29 02:00:00+02:00;65,211006;10,403626;46,560127;29,054506;36,1565
2024-04-29 02:15:00+02:00;64,8165;9,890027;45,98855;28,717974;36,098522
2024-04-29 02:30:00+02:00;67,721756;5,7328;12,960469;60,494083;7,2276692
2024-04-29 02:45:00+02:00;105,024796;0;79,64677;25,378027;79,64677
2024-04-29 03:00:00+02:00;111,12099;0;86,371864;24,74912;86,371864
2024-04-29 03:15:00+02:00;100,32496;0;80,27397;20,050987;80,27397
2024-04-29 03:30:00+02:00;103,81794;0;80,52749;23,290453;80,52749
2024-04-29 03:45:00+02:00;104,99233;0;80,369934;24,6224;80,369934
2024-04-29 04:00:00+02:00;109,497665;0;91,3926;18,105066;91,3926
2024-04-29 04:15:00+02:00;133,90646;0;104,69932;29,207146;104,69932
2024-04-29 04:30:00+02:00;149,61577;0;121,4739;28,141867;121,4739
2024-04-29 04:45:00+02:00;70,65476;2,0372267;11,293801;61,39819;9,256575
2024-04-29 05:00:00+02:00;70,811226;0;9,465942;61,345284;9,465942
2024-04-29 05:15:00+02:00;62,870995;12,352106;75,2231;0;62,870995
2024-04-29 05:30:00+02:00;64,92983;11,293013;76,22285;0;64,92983
2024-04-29 05:45:00+02:00;64,138824;7,499946;42,634186;29,004587;35,13424
2024-04-29 06:00:00+02:00;72,20144;9,368426;77,64591;3,923947;68,27749
2024-04-29 06:15:00+02:00;117,38452;45,196697;147,06197;15,519253;101,865265
2024-04-29 06:30:00+02:00;249,46423;13,737599;193,89943;69,3024;180,16183
2024-04-29 06:45:00+02:00;108,80233;21,388372;130,1907;0;108,80233
2024-04-29 07:00:00+02:00;124,375854;33,469547;157,8454;0;124,375854
2024-04-29 07:15:00+02:00;297,59125;72,714134;203,62296;166,68245;130,90881
2024-04-29 07:30:00+02:00;213,752;11,603093;0;225,35509;0
2024-04-29 07:45:00+02:00;84,98156;100,03765;106,58572;78,433495;6,548065
2024-04-29 08:00:00+02:00;787,38965;0;284,8715;502,5182;284,8715
