cod,message,cnt,list__dt,list__main__temp,list__main__feels_like,list__main__temp_min,list__main__temp_max,list__main__pressure,list__main__sea_level,list__main__grnd_level,list__main__humidity,list__main__temp_kf,list__weather__id,list__weather__main,list__weather__description,list__weather__icon,list__clouds__all,list__wind__speed,list__wind__deg,list__wind__gust,list__visibility,list__pop,list__rain__3h,list__sys__pod,list__dt_txt,city__id,city__name,city__coord__lat,city__coord__lon,city__country,city__population,city__timezone,city__sunrise,city__sunset
200.0,0.0,40.0,1714381200,292.36,291.59,292.36,293.59,1014,1014,1008,48,-1.23,800,Clear,clear sky,01d,0,7.25,117,9.87,10000,0.0,,d,2024-04-29 09:00:00,6540125.0,Cagliari,39.2172,9.1133,IT,0.0,7200.0,1714364828.0,1714414461.0
,,,1714392000,292.13,291.49,292.13,292.33,1015,1015,1009,54,-0.2,800,Clear,clear sky,01d,0,8.35,134,11.84,10000,0.0,,d,2024-04-29 12:00:00,,,,,,,,,
,,,1714402800,292.17,291.59,292.17,292.17,1015,1015,1008,56,0.0,800,Clear,clear sky,01d,0,6.62,138,10.25,10000,0.0,,d,2024-04-29 15:00:00,,,,,,,,,
,,,1714413600,290.36,289.65,290.36,290.36,1015,1015,1008,58,0.0,800,Clear,clear sky,01d,0,3.72,126,7.27,10000,0.0,,d,2024-04-29 18:00:00,,,,,,,,,
,,,1714424400,287.87,287.15,287.87,287.87,1017,1017,1010,67,0.0,800,Clear,clear sky,01n,0,2.27,130,4.18,10000,0.0,,n,2024-04-29 21:00:00,,,,,,,,,
,,,1714435200,287.58,287.12,287.58,287.58,1016,1016,1009,78,0.0,800,Clear,clear sky,01n,4,2.92,83,4.57,10000,0.0,,n,2024-04-30 00:00:00,,,,,,,,,
,,,1714446000,287.71,287.52,287.71,287.71,1015,1015,1008,88,0.0,802,Clouds,scattered clouds,03n,40,3.42,95,5.81,10000,0.0,,n,2024-04-30 03:00:00,,,,,,,,,
,,,1714456800,289.84,289.73,289.84,289.84,1015,1015,1008,83,0.0,500,Rain,light rain,10d,65,5.4,119,8.96,10000,0.2,0.16,d,2024-04-30 06:00:00,,,,,,,,,
,,,1714467600,291.18,291.08,291.18,291.18,1015,1015,1008,78,0.0,500,Rain,light rain,10d,96,8.0,133,10.53,10000,0.36,0.19,d,2024-04-30 09:00:00,,,,,,,,,
,,,1714478400,290.09,290.01,290.09,290.09,1014,1014,1007,83,0.0,500,Rain,light rain,10d,96,8.27,135,11.05,10000,0.23,0.19,d,2024-04-30 12:00:00,,,,,,,,,
,,,1714489200,289.61,289.5,289.61,289.61,1012,1012,1005,84,0.0,500,Rain,light rain,10d,100,5.46,121,8.76,10000,0.66,0.34,d,2024-04-30 15:00:00,,,,,,,,,
,,,1714500000,288.08,288.11,288.08,288.08,1010,1010,1003,95,0.0,501,Rain,moderate rain,10d,100,1.51,325,2.16,7264,1.0,7.58,d,2024-04-30 18:00:00,,,,,,,,,
,,,1714510800,287.91,287.87,287.91,287.91,1009,1009,1002,93,0.0,500,Rain,light rain,10n,100,2.18,352,2.05,10000,1.0,2.56,n,2024-04-30 21:00:00,,,,,,,,,
,,,1714521600,287.72,287.66,287.72,287.72,1009,1009,1002,93,0.0,500,Rain,light rain,10n,95,1.27,322,1.23,10000,1.0,1.16,n,2024-05-01 00:00:00,,,,,,,,,
,,,1714532400,287.62,287.52,287.62,287.62,1008,1008,1002,92,0.0,500,Rain,light rain,10n,100,1.57,306,1.95,10000,0.83,0.38,n,2024-05-01 03:00:00,,,,,,,,,
,,,1714543200,288.23,288.09,288.23,288.23,1009,1009,1002,88,0.0,500,Rain,light rain,10d,100,2.05,314,3.34,10000,0.82,0.33,d,2024-05-01 06:00:00,,,,,,,,,
,,,1714554000,291.56,291.13,291.56,291.56,1010,1010,1003,64,0.0,500,Rain,light rain,10d,61,4.02,275,6.23,10000,0.24,0.13,d,2024-05-01 09:00:00,,,,,,,,,
,,,1714564800,293.94,293.3,293.94,293.94,1010,1010,1003,47,0.0,802,Clouds,scattered clouds,03d,38,7.24,253,8.76,10000,0.0,,d,2024-05-01 12:00:00,,,,,,,,,
,,,1714575600,293.64,293.05,293.64,293.64,1010,1010,1003,50,0.0,800,Clear,clear sky,01d,1,7.35,256,9.08,10000,0.0,,d,2024-05-01 15:00:00,,,,,,,,,
,,,1714586400,290.29,289.81,290.29,290.29,1012,1012,1005,67,0.0,800,Clear,clear sky,01d,0,3.88,252,5.55,10000,0.0,,d,2024-05-01 18:00:00,,,,,,,,,
,,,1714597200,287.12,286.87,287.12,287.12,1013,1013,1006,88,0.0,800,Clear,clear sky,01n,3,1.11,336,1.1,10000,0.0,,n,2024-05-01 21:00:00,,,,,,,,,
,,,1714608000,286.49,286.15,286.49,286.49,1013,1013,1007,87,0.0,800,Clear,clear sky,01n,4,0.45,274,0.77,10000,0.0,,n,2024-05-02 00:00:00,,,,,,,,,
,,,1714618800,286.58,286.28,286.58,286.58,1013,1013,1006,88,0.0,800,Clear,clear sky,01n,2,1.48,264,2.21,10000,0.0,,n,2024-05-02 03:00:00,,,,,,,,,
,,,1714629600,288.39,287.93,288.39,288.39,1014,1014,1008,75,0.0,801,Clouds,few clouds,02d,18,2.85,267,5.69,10000,0.0,,d,2024-05-02 06:00:00,,,,,,,,,
,,,1714640400,292.43,291.61,292.43,292.43,1016,1016,1009,46,0.0,802,Clouds,scattered clouds,03d,40,6.53,261,10.02,10000,0.0,,d,2024-05-02 09:00:00,,,,,,,,,
